NAME,state,geoid,total_returns,eitc_returns,eitc_participation_rate,federal_eitc_avg_amount,federal_eitc_total_amount,state_eitc_avg_amount,state_eitc_total_amount,ctc_returns,ctc_participation_rate,ctc_avg_amount,ctc_total_amount,total_population
Hawaii,15,15001,20368.4,2037,0.10,2100,4277700,840,1711080,1830,0.09,980,1793400,200968
Honolulu,15,15003,1196331.7019093921,150908.9755731364,0.12614308835273677,2193.715672551019,331051384.8434082,877.4862690204075,132420553.93736328,109062.19809998834,0.09116384521610588,1034.9271652679668,112871431.51751436,972612
Kalawao,15,15005,4.3,0,0.00,0,0,0,0,0,0.00,0,0,41
Kauai,15,15007,7361,736,0.10,2050,1508800,820,603520,662,0.09,950,628900,72848
Maui,15,15009,16463.2,1646,0.10,2075,3415350,830,1366180,1479,0.09,965,1427235,162991
Unknown,15,,80808.29809060786,7531.024426863588,0.09319617668991471,2165.5241348598015,16308615.156591803,866.2096539439206,6523446.062636721,5917.801900011671,0.07323260159960579,1008.5786214766439,5968568.482485635,596316
