county,total_schools,cep_schools,cep_percentage,cep_display
Hawaii,55,35,63.63636363636363,35/55 CEP schools
Honolulu,185,51,27.56756756756757,51/185 CEP schools
Kauai,22,3,13.636363636363635,3/22 CEP schools
Maui,34,9,26.47058823529412,9/34 CEP schools
