island,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Oahu,259081,252568,251023,249971,248222,244677,244663,244433,244507,243223,241961,242216
Kauai,24427,23833,23749,23657,23516,23023,22962,22926,23022,22958,22825,22942
Hawaii,90239,88133,87875,87545,86868,85539,85456,85349,85271,85247,84859,84693
Maui,50796,49632,49479,49282,49080,47817,47188,46728,46496,46350,45800,45617
Molokai,3985,3937,3924,3943,3956,3884,3872,3884,3859,3822,3791,3790
Lanai,923,913,917,930,929,898,906,902,895,914,927,926
