geoid,name,b01001_001e,below_poverty,total_population,median_income,median_income_moe,bachelors_plus,pop_25_plus,renter_occupied,total_housing_units,median_rent,b25070_001e,b25070_007e,b25070_008e,b25070_009e,b25070_010e,state,county,poverty_rate,bachelors_rate,renter_rate
15001,"Hawaii County, Hawaii",203684,29257,200968,77215,2280,28088,147788,19625,72958,1411,19625,1581,1101,1375,4561,15,001,14.56,19.01,26.9
15003,"Honolulu County, Hawaii",1003666,88808,972612,104264,1357,167802,707526,136375,337061,2054,136375,13246,9802,13784,36730,15,003,9.13,23.72,40.46
15005,"Kalawao County, Hawaii",43,13,41,86250,58780,7,43,22,22,1300,22,1,0,4,0,15,005,31.71,16.28,100.0
15007,"Kauai County, Hawaii",73610,6414,72848,93612,4932,11014,53076,7677,23465,1810,7677,688,411,835,1452,15,007,8.8,20.75,32.72
15009,"Maui County, Hawaii",164632,15969,162991,95076,3077,23730,118918,19423,55485,1863,19423,1680,1199,1735,4852,15,009,9.8,19.95,35.01
