NAME,total_population,below_poverty,total_population_poverty,median_income,median_income_moe,bachelors_plus,pop_25_plus,renter_occupied,total_housing_units,state,state legislative district (upper chamber),district,geoid,poverty_rate,bachelors_rate,renter_rate
State Senate District 1 (2022); Hawaii,54780,7393,53000,77898,4165,8039,39068,6516,19155,15,001,001,15001,13.95,20.58,34.02
State Senate District 2 (2022); Hawaii,47987,10367,47881,57919,6270,5148,34517,3884,18135,15,002,002,15002,21.65,14.91,21.42
State Senate District 3 (2022); Hawaii,53726,6796,53060,81101,4363,7939,39605,5463,18872,15,003,003,15003,12.81,20.05,28.95
State Senate District 4 (2022); Hawaii,47191,4701,47027,94159,6801,6962,34598,3762,16796,15,004,004,15004,10.0,20.12,22.4
State Senate District 5 (2022); Hawaii,53752,4257,52605,98140,6169,7523,38249,5314,16701,15,005,005,15005,8.09,19.67,31.82
State Senate District 6 (2022); Hawaii,55786,5072,55573,93770,6352,8499,41096,7340,19859,15,006,006,15006,9.13,20.68,36.96
State Senate District 7 (2022); Hawaii,55137,6653,54854,94216,3745,7715,39616,6791,18947,15,007,007,15007,12.13,19.47,35.84
State Senate District 8 (2022); Hawaii,73610,6414,72848,93612,4932,11014,53076,7677,23465,15,008,008,15008,8.8,20.75,32.72
State Senate District 9 (2022); Hawaii,52594,2863,52125,145460,8186,13387,40380,4509,18907,15,009,009,15009,5.49,33.15,23.85
State Senate District 10 (2022); Hawaii,53652,5809,53040,84238,4352,11128,41754,11137,21945,15,010,010,15010,10.95,26.65,50.75
State Senate District 11 (2022); Hawaii,58075,6521,54970,90576,4842,13077,44129,11994,24611,15,011,011,15011,11.86,29.63,48.73
State Senate District 12 (2022); Hawaii,54154,7167,53753,74157,3134,12992,46074,16905,30427,15,012,012,15012,13.33,28.2,55.56
State Senate District 13 (2022); Hawaii,53413,7794,52339,71953,3209,9021,40508,12528,21250,15,013,013,15013,14.89,22.27,58.96
State Senate District 14 (2022); Hawaii,55523,6886,53648,100384,7017,7223,39511,5925,14311,15,014,014,15014,12.84,18.28,41.4
State Senate District 15 (2022); Hawaii,83097,6792,76226,91442,3986,11030,52654,16021,24921,15,015,015,15015,8.91,20.95,64.29
State Senate District 16 (2022); Hawaii,56334,3019,55989,116350,7978,10895,42707,4598,19655,15,016,016,15016,5.39,25.51,23.39
State Senate District 17 (2022); Hawaii,55978,4270,55571,117941,5088,9676,39478,5378,18716,15,017,017,15017,7.68,24.51,28.73
State Senate District 18 (2022); Hawaii,51878,2297,51779,119677,6251,9171,38301,3642,17467,15,018,018,15018,4.44,23.94,20.85
State Senate District 19 (2022); Hawaii,54474,5482,53713,101126,4886,6485,38569,5403,13981,15,019,019,15019,10.21,16.81,38.65
State Senate District 20 (2022); Hawaii,63439,2880,62564,131590,6011,9332,42034,5339,17961,15,020,020,15020,4.6,22.2,29.73
State Senate District 21 (2022); Hawaii,62290,5345,61309,116531,5236,8135,39605,5254,18331,15,021,021,15021,8.72,20.54,28.66
State Senate District 22 (2022); Hawaii,50782,9005,50068,85715,4846,3501,31731,5260,13705,15,022,022,15022,17.99,11.03,38.38
State Senate District 23 (2022); Hawaii,77069,5846,69586,93343,4603,10174,44979,12190,22780,15,023,023,15023,8.4,22.62,53.51
State Senate District 24 (2022); Hawaii,65590,4468,60896,116704,5528,10974,45232,6930,20144,15,024,024,15024,7.34,24.26,34.4
State Senate District 25 (2022); Hawaii,55324,2364,55036,152705,6293,11601,39880,3362,17949,15,025,025,15025,4.3,29.09,18.73
