name,s0802_c01_001e,s0802_c01_004e,state,county,GEOID,public_transportation_pct
,86317,39.8,15,1,15001,39.8
,498111,44.4,15,3,15003,44.4
,34071,40.6,15,7,15007,40.6
,78926,40.8,15,9,15009,40.8
