geoid,name,below_poverty,total_population,median_income,edu_hs_diploma,edu_ged,edu_some_college_lt1,edu_some_college_1plus,edu_associates,bachelors_plus,edu_masters,edu_professional,edu_doctorate,pop_25_plus,renter_occupied,total_housing_units,b25070_007e,b25070_008e,b25070_009e,b25070_010e,b25070_001e,median_rent,b25077_001e,aggregate_vehicles,aggregate_travel_time,b08303_001e,b08303_008e,b08303_009e,b08303_010e,b08303_011e,b08303_012e,b08303_013e,public_transit_workers,total_workers,bicycle_workers,walked_workers,wfh_workers,veh_hh_total,veh_hh_0,veh_hh_1,veh_hh_2,veh_hh_3,veh_hh_4plus,b23025_003e,b23025_005e,race_total_pop,state,county,NAME,white_aoic,black_aoic,asian_aoic,nhpi_aoic,hispanic_universe,hispanic_total,occupancy_universe,vacant_units,b17001_002m,b17001_001m,median_income_moe,b15003_017m,b15003_018m,b15003_019m,b15003_020m,b15003_021m,b15003_022m,b15003_023m,b15003_024m,b15003_025m,b15003_001m,b25003_003m,b25003_001m,b25070_007m,b25070_008m,b25070_009m,b25070_010m,b25070_001m,b25064_001m,b25077_001m,b25046_001m,b08013_001m,b08303_001m,b08303_008m,b08303_009m,b08303_010m,b08303_011m,b08303_012m,b08303_013m,b08301_010m,b08301_001m,b08301_018m,b08301_019m,b08301_021m,b08201_001m,b08201_002m,b08201_003m,b08201_004m,b08201_005m,b08201_006m,b23025_003m,b23025_005m,b02001_001m,b02008_001m,b02009_001m,b02011_001m,b02012_001m,b03002_001m,b03002_012m,b25002_001m,b25002_003m,poverty_rate,bachelors_rate,college_educated_pct,hs_or_higher,high_school_or_higher_pct,white_pct,black_pct,asian_pct,nhpi_pct,hispanic_pct,vacancy_rate,renter_rate,rent_burden_households,rent_burden_rate,severe_rent_burden_rate,median_home_value,unemployment_rate,public_transportation_pct,travel_time_to_work_minutes,avg_vehicles_per_household,zero_vehicle_household_pct,active_transportation_pct,work_from_home_pct,median_rent_moe,median_home_value_moe,poverty_rate_moe,unemployment_rate_moe,renter_rate_moe,severe_rent_burden_rate_moe,rent_burden_rate_moe,vacancy_rate_moe,public_transportation_pct_moe,zero_vehicle_household_pct_moe,work_from_home_pct_moe,active_transportation_pct_moe,college_educated_pct_moe,high_school_or_higher_pct_moe,white_pct_moe,black_pct_moe,asian_pct_moe,nhpi_pct_moe,hispanic_pct_moe,avg_vehicles_per_household_moe,travel_time_to_work_minutes_moe
15001,"Hawaii County, Hawaii",30331,202960,78639,39081,5037,9051,21514,17695,28558,11852,4171,2420,149578,19277,74072,1869,1056,1109,4503,19277,1510,519300,148780,2083020,75932,9926,2148,2862,6623,4540,3391,590,86392,273,1601,10460,74072,3567,23572,27444,11565,7924,94449,5668,205769,15,001,"Hawaii County, Hawaii",116462,4873,91631,72679,205769,24003,90735,16663,2443,471,2560,1472,574,744,1203,1121,1252,920,534,406,264,948,842,370,357,235,627,948,66,16515,3102,81000,1749,1007,466,467,773,581,500,172,1555,141,310,907,842,512,1110,1279,874,734,1514,713,-555555555,2764,538,884,1749,-555555555,-555555555,123,842,14.94,19.09,19.09,139379,93.18,56.6,2.37,44.53,35.32,11.67,18.36,26.02,8537,44.29,23.36,519300,6.0,0.68,27.43,2.01,4.82,2.17,12.11,66,16515.0,1.2,0.75,1.25,3.04,3.8,0.93,0.2,0.69,1.03,0.39,0.84,1.96,1.34,0.26,0.43,0.85,0.0,0.05,1.24
15003,"Honolulu County, Hawaii",89493,969622,106195,158416,19254,41514,91573,76435,171424,68017,20616,12262,708001,136264,338868,13293,9102,14201,36804,136264,2083,897500,615193,12048020,451346,82218,12458,18561,40237,28074,8746,24476,496814,5269,25859,45468,338868,32791,117468,113650,44862,30097,484193,22723,1001146,15,003,"Honolulu County, Hawaii",381377,44587,614763,252251,1001146,94340,374304,35436,3500,1004,1953,2557,1206,1454,2200,2076,2574,1906,863,945,-555555555,2126,1631,929,693,883,1248,2126,30,6414,5391,126394,2709,2196,815,1193,1499,1475,726,1212,2778,613,1409,1646,1631,1281,1856,1905,1378,1065,2625,1212,-555555555,4315,1424,1565,3431,-555555555,-555555555,211,1623,9.23,24.21,24.21,659511,93.15,38.09,4.45,61.41,25.2,9.42,9.47,40.21,73400,53.87,27.01,897500,4.69,4.93,26.69,1.82,9.68,6.27,9.15,30,6414.0,0.36,0.25,0.6,0.81,1.13,0.43,0.24,0.38,0.33,0.31,0.36,0.79,0.43,0.14,0.16,0.34,0.0,0.02,0.32
15005,"Kalawao County, Hawaii",15,66,73750,9,12,3,13,2,6,9,0,0,67,40,40,1,0,4,0,40,1271,-666666666,52,775,46,0,0,0,0,0,7,7,49,0,10,3,40,6,24,8,0,2,49,0,67,15,005,"Kalawao County, Hawaii",26,1,22,14,67,9,107,67,10,25,39918,10,24,7,14,3,5,6,12,12,25,24,24,3,12,4,12,24,658,-222222222,30,1293,29,12,12,12,12,12,14,14,30,12,6,7,24,5,25,5,12,2,30,12,25,16,3,17,9,25,13,24,11,22.73,8.96,8.96,54,80.6,38.81,1.49,32.84,20.9,13.43,62.62,100.0,5,12.5,0.0,-666666666,0.0,14.29,16.85,1.3,15.0,20.41,6.12,658,,12.47,24.49,0.0,30.0,43.59,17.41,27.2,8.67,13.79,24.36,6.67,44.1,18.99,4.44,22.22,10.94,18.74,1.08,30.05
15007,"Kauai County, Hawaii",6630,72935,97668,14401,1181,4004,7838,6208,10531,3810,1075,648,53395,7422,23632,669,476,839,1468,7422,1870,873200,53288,712975,31811,5631,531,1047,2320,1103,258,474,34799,69,868,2988,23632,937,6126,8302,4683,3584,38228,1471,73731,15,007,"Kauai County, Hawaii",37694,1218,38256,20222,73731,7804,30471,6839,905,172,5401,743,246,572,530,512,843,459,167,168,128,500,543,204,149,208,276,500,78,15373,1678,33171,949,589,148,272,408,198,136,202,834,95,184,439,543,231,513,491,452,397,767,289,-555555555,1204,156,511,1252,-555555555,-555555555,61,540,9.09,19.72,19.72,49696,93.07,51.12,1.65,51.89,27.43,10.58,22.44,31.41,3452,46.51,19.78,873200,3.85,1.36,22.41,2.25,3.96,2.69,8.59,78,15373.0,1.24,0.75,1.99,3.47,4.84,1.77,0.58,0.97,1.24,0.59,1.58,2.93,1.63,0.21,0.69,1.7,0.0,0.09,1.24
15009,"Maui County, Hawaii",14932,162774,97161,32522,3415,8358,18010,11877,24581,8294,2761,1264,119156,19203,55841,1722,1277,1417,5116,19203,1916,904700,116511,1613745,70068,9166,1162,2127,5691,3281,981,1068,78053,463,1624,7985,55841,3029,16680,20304,8704,7124,84775,4654,164522,15,009,"Maui County, Hawaii",85353,3157,79327,46490,164522,17435,72279,16438,1276,347,2901,1502,526,756,1118,771,1025,681,338,269,110,982,694,311,326,303,530,982,82,14011,2900,54738,1329,856,219,341,769,500,283,344,1317,171,384,648,694,495,851,854,630,562,1098,610,25,1921,321,802,1969,25,14,131,688,9.17,20.63,20.63,111082,93.22,51.88,1.92,48.22,28.26,10.6,22.74,34.39,9532,49.64,26.64,904700,5.49,1.37,23.03,2.09,5.42,2.67,10.23,82,14011.0,0.78,0.72,1.71,2.4,3.03,0.95,0.44,0.88,0.81,0.54,0.86,2.16,1.17,0.2,0.49,1.2,0.01,0.06,0.9
